RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN30378|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.11|01/21/2013|11:14|0.3||||||LN|LN|RT|
LN30992|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.1|01/14/2014|11:45|0.3||||||LN|LN|RT|
LN21078|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.08|01/24/2001|16:52|0.3||||||LN|LN|RT|
LN20761|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.27|07/11/2000|10:20|0.3||||||LN|LN|RT|
LN21215|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.37|05/14/2001|15:00|0.3||||||LN|LN|RT|
LN24537|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.02|01/13/2004|15:00|0.3||||||LN|LN|RT|
LN25797|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.04|10/17/2005|11:11|0.3||||||LN|LN|RT|
LN25477|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.1|04/12/2005|11:10|0.278||||||LN|LN|RT|
LN24009|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.04|07/21/2003|10:06|0.3||||||LN|LN|RT|
LN22102|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.27|04/23/2002|09:20|0.3||||||LN|LN|RT|
LN28559|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|01/25/2010|11:32|0.3||||||LN|LN|RT|
LN28901|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|07/07/2010|14:52|0.3||||||LN|LN|RT|
LN31145|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|04/08/2014|10:26|0.3||||||LN|LN|RT|
LN29341|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.24|04/19/2011|11:00|0.3||||||LN|LN|RT|
LN29561|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.28|07/12/2011|10:50|0.3||||||LN|LN|RT|
LN21323|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.04|07/16/2001|11:25|0.3||||||LN|LN|RT|
LN25333|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.03|01/10/2005|10:57|0.348||||||LN|LN|RT|
LN27075|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|10/22/2007|11:06|0.3||||||LN|LN|RT|
LN29237|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|01/18/2011|11:23|0.3||||||LN|LN|RT|
LN29691|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.11|10/18/2011|11:03|0.189||||||LN|LN|RT|
LN33293|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|10/18/2016|14:58|0.3||||||LN|LN|RT|
LN32580|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.26|04/13/2016|09:49|0.008||||||LN|LN|RT|
LN35461|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|04/28/2020|10:58|0.3||||||LN|LN|RT|
LN31595|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.1|01/20/2015|10:59|0.3||||||LN|LN|RT|
