RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN20700|1604|15377|LAKE TEXANA NEAR SPILLWAY|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.09|07/11/2000|06:49|0.3||||||LN|LN|RT|
LN27099|1604|15377|LAKE TEXANA NEAR SPILLWAY|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|10/23/2007|11:46|0.36||||||LN|LN|RT|
LN28286|1604|15377|LAKE TEXANA NEAR SPILLWAY|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|07/14/2009|09:21|0.331||||||LN|LN|RT|
LN29098|1604|15377|LAKE TEXANA NEAR SPILLWAY|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|10/07/2010|09:08|0.362||||||LN|LN|RT|
LN21628|1604|15377|LAKE TEXANA NEAR SPILLWAY|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.02|10/17/2001|09:00|0.45||||||LN|LN|RT|
LN24314|1604|15377|LAKE TEXANA NEAR SPILLWAY|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.02|10/15/2003|10:50|0.469||||||LN|LN|RT|
LN25663|1604|15377|LAKE TEXANA NEAR SPILLWAY|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.02|07/13/2005|09:43|0.31||||||LN|LN|RT|
LN25823|1604|15377|LAKE TEXANA NEAR SPILLWAY|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.02|10/18/2005|09:51|0.312||||||LN|LN|RT|
LN35764|1604|15377|LAKE TEXANA NEAR SPILLWAY|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|10/06/2020|07:36|0.297||||||LN|LN|RT|
LN29364|1604|15377|LAKE TEXANA NEAR SPILLWAY|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.24|04/20/2011|08:56|0.346||||||LN|LN|RT|
LN30713|1604|15377|LAKE TEXANA NEAR SPILLWAY|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|07/09/2013|08:58|0.301||||||LN|LN|RT|
LN29786|1604|15377|LAKE TEXANA NEAR SPILLWAY|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.22|01/12/2012|08:58|0.281||||||LN|LN|RT|Sample taken from shoreline.
LN21120|1604|15377|LAKE TEXANA NEAR SPILLWAY|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.06|01/23/2001|13:25|0.33||||||LN|LN|RT|
