RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN31921|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.19|07/13/2015|10:30|0.3||||||LN|LN|RT|
LN23034|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.36|01/21/2003|11:56|0.3||||||LN|LN|RT|
LN26131|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.09|04/10/2006|09:56|0.3||||||LN|LN|RT|
LN27102|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.31|10/22/2007|10:41|0.3||||||LN|LN|RT|
LN27445|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.16|04/15/2008|10:36|0.3||||||LN|LN|RT|
LN28595|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.31|01/25/2010|11:06|0.3||||||LN|LN|RT|
LN33113|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.11|07/18/2016|10:39|0.147||||||LN|LN|RT|
LN34378|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.26|07/09/2018|10:51|0.3||||||LN|LN|RT|
LN34076|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.12|01/22/2018|11:55|0.3||||||LN|LN|RT|
LN33912|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.09|10/17/2017|11:23|0.3||||||LN|LN|RT|
LN30412|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.33|01/21/2013|10:58|0.3||||||LN|LN|RT|TOC & Nitrate -- 1:2 dilution
LN29787|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.74|01/11/2012|11:04|0.3||||||LN|LN|RT|
LN20249|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.2|01/11/2000|06:27|0.3||||||LN|LN|RT|
LN25829|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||1.29|10/17/2005|10:55|0.378||||||LN|LN|RT|
LN25509|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.08|04/12/2005|10:52|0.3||||||LN|LN|RT|
LN26794|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.24|04/17/2007|09:54|0.3||||||LN|LN|RT|
LN26938|1604A|15382|EAST MUSTANG CREEK AT FM 647|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.95|07/18/2007|14:29|0.3||||||LN|LN|RT|
