RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN31630|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.07|01/20/2015|15:04|0.3||||||LN|LN|RT|Nitrate diluted 1:10 due to high conductivity.
LN31028|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.12|01/14/2014|15:53|0.301||||||LN|LN|RT|
LN22169|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.17|04/23/2002|15:35|0.387||||||LN|LN|RT|
LN21644|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.23|10/16/2001|11:18|0.47||||||LN|LN|RT|
LN25046|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.28|07/13/2004|15:14|0.346||||||LN|LN|RT|
LN26304|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.22|07/12/2006|14:23|0.356||||||LN|LN|RT|
LN26639|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.23|01/09/2007|15:31|0.45||||||LN|LN|RT|
LN28598|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.14|01/25/2010|14:54|0.394||||||LN|LN|RT|
LN33329|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.17|10/18/2016|09:57|0.3||||||LN|LN|RT|
LN33764|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.2|07/18/2017|14:31|0.3||||||LN|LN|RT|
LN34230|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.15|04/16/2018|14:34|0.3||||||LN|LN|RT|
LN33943|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.19|10/17/2017|15:26|0.3||||||LN|LN|RT|
LN22453|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.21|07/23/2002|16:21|0.623||||||LN|LN|RT|
LN25672|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)|<|0.05|07/12/2005|15:03|0.3||||||LN|LN|RT|
LN27108|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.23|10/22/2007|15:44|0.367||||||LN|LN|RT|
LN28118|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.21|04/28/2009|15:42|0.339||||||LN|LN|RT|
LN29270|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.22|01/18/2011|14:47|0.341||||||LN|LN|RT|
LN29702|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.2|10/18/2011|14:57|0.307||||||LN|LN|RT|
LN34864|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.18|04/09/2019|14:02|0.3||||||LN|LN|RT|
LN31478|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.12|10/14/2014|14:56|0.3||||||LN|LN|RT|Diluted 1:10 due to high conductivity of sample
LN31337|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.19|07/08/2014|14:28|0.299||||||LN|LN|RT|
LN31784|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.2|04/28/2015|14:50|0.298||||||LN|LN|RT|
LN30415|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.15|01/21/2013|16:10|0.301||||||LN|LN|RT|1:10 Dilution due to high conductivity.
LN29790|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.15|01/11/2012|15:34|0.307||||||LN|LN|RT|
LN30882|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.16|10/15/2013|15:32|0.302||||||LN|LN|RT|
LN21220|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.26|05/14/2001|12:05|0.36||||||LN|LN|RT|
LN22768|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.34|10/22/2002|15:41|0.405||||||LN|LN|RT|
LN24601|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.53|01/13/2004|11:00|0.417||||||LN|LN|RT|
LN24755|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)||0.28|04/21/2004|09:15|0.354||||||LN|LN|RT|
LN26477|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00665|PHOSPHORUS, TOTAL, WET METHOD (MG/L AS P)|<|0.05|10/03/2006|14:41|0.346||||||LN|LN|RT|
