RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN22700|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.02|10/22/2002|11:35|0.3||||||LN|LN|RT|
LN26267|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.02|07/12/2006|07:53|0.3||||||LN|LN|RT|
LN28561|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|01/25/2010|09:43|0.3||||||LN|LN|RT|
LN28731|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|04/14/2010|08:56|0.3||||||LN|LN|RT|
LN29239|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|01/18/2011|09:51|0.3||||||LN|LN|RT|
LN28903|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|07/07/2010|13:08|0.3||||||LN|LN|RT|
LN32582|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|04/13/2016|08:12|0.008||||||LN|LN|RT|
LN33448|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.24|01/10/2017|09:51|0.3||||||LN|LN|RT|
LN34534|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.14|10/16/2018|08:08|0.3||||||LN|LN|RT|
LN29887|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.18|04/24/2012|09:10|0.3||||||LN|LN|RT|
LN29780|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.27|01/11/2012|09:26|0.3||||||LN|LN|RT|
LN21080|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.04|01/24/2001|15:56|0.3||||||LN|LN|RT|
LN21673|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.03|10/30/2001|08:50|0.3||||||LN|LN|RT|
LN25799|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.02|10/17/2005|09:19|0.3||||||LN|LN|RT|
LN26605|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.02|01/09/2007|09:49|0.3||||||LN|LN|RT|
LN27414|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|04/15/2008|09:15|0.3||||||LN|LN|RT|
LN29072|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.2|10/06/2010|08:51|0.3||||||LN|LN|RT|
LN33081|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|07/18/2016|09:11|0.068||||||LN|LN|RT|
LN33760|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.14|07/18/2017|10:05|0.3||||||LN|LN|RT|
LN34699|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|01/09/2019|09:36|0.3||||||LN|LN|RT|DILUTION 1:4
LN31892|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|07/13/2015|09:03|0.3||||||LN|LN|RT|
LN29343|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.22|04/19/2011|09:06|0.3||||||LN|LN|RT|
LN30536|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|04/09/2013|08:11|0.3||||||LN|LN|RT|
LN30054|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.14|07/10/2012|08:47|0.3||||||LN|LN|RT|
LN22398|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.03|07/23/2002|12:06|0.3||||||LN|LN|RT|
LN33911|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.23|10/17/2017|09:57|0.3||||||LN|LN|RT|
LN34986|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.11|07/16/2019|08:04|0.3||||||LN|LN|RT|
LN30380|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|01/21/2013|09:32|0.3||||||LN|LN|RT|
LN21325|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.06|07/16/2001|12:15|0.3||||||LN|LN|RT|
LN24011|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.03|07/21/2003|11:25|0.3||||||LN|LN|RT|
