RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN27414|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.26|04/15/2008|09:15|0.3||||||LN|LN|RT|
LN28731|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.44|04/14/2010|08:56|0.3||||||LN|LN|RT|
LN32052|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.05|10/19/2015|09:10|0.131||||||LN|LN|RT|
LN33760|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.15|07/18/2017|10:05|0.3||||||LN|LN|RT|
LN34075|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.05|01/22/2018|10:27|0.3||||||LN|LN|RT|
LN35308|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.05|01/20/2020|09:18|0.3||||||LN|LN|RT|
LN30380|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.11|01/21/2013|09:32|0.3||||||LN|LN|RT|
LN25641|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.1|07/12/2005|09:05|0.3||||||LN|LN|RT|
LN25799|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.21|10/17/2005|09:19|0.3||||||LN|LN|RT|
LN26766|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.38|04/17/2007|08:35|0.3||||||LN|LN|RT|
LN27241|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.26|01/29/2008|13:24|0.3||||||LN|LN|RT|
LN29239|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.44|01/18/2011|09:51|0.3||||||LN|LN|RT|
LN35097|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.05|10/02/2019|09:10|0.3||||||LN|LN|RT|
