RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN31627|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||1.25|01/20/2015|10:43|0.3||||||LN|LN|RT|
LN30247|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.59|10/15/2012|10:29|0.3||||||LN|LN|RT|
LN29590|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.14|07/12/2011|10:31|0.3||||||LN|LN|RT|
LN30074|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.06|07/10/2012|10:14|0.3||||||LN|LN|RT|
LN30879|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.65|10/15/2013|10:46|0.3||||||LN|LN|RT|
LN27957|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.05|01/20/2009|11:30|0.345||||||LN|LN|RT|
LN28933|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.12|07/07/2010|14:35|0.3||||||LN|LN|RT|
LN33012|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||17.1|04/13/2016|09:32|0.067||||||LN|LN|RT|
LN34076|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||2.54|01/22/2018|11:55|0.3||||||LN|LN|RT|
LN35464|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||2.81|04/28/2020|09:16|0.3||||||LN|LN|RT|
LN30564|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.14|04/09/2013|09:38|0.3||||||LN|LN|RT|
LN30720|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||1.31|07/08/2013|10:47|0.3||||||LN|LN|RT|
LN26938|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.39|07/18/2007|14:29|0.3||||||LN|LN|RT|
LN32433|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||1.04|01/19/2016|11:03|0.176||||||LN|LN|RT|
LN33296|1604A|15382|EAST MUSTANG CREEK AT FM 647|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.05|10/18/2016|15:26|0.3||||||LN|LN|RT|
