RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN31921|1604A|15382|EAST MUSTANG CREEK AT FM 647|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|07/13/2015|10:30|0.3||||||LN|LN|RT|
LN30074|1604A|15382|EAST MUSTANG CREEK AT FM 647|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.13|07/10/2012|10:14|0.3||||||LN|LN|RT|
LN21674|1604A|15382|EAST MUSTANG CREEK AT FM 647|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.04|10/29/2001|13:08|0.3||||||LN|LN|RT|
LN25043|1604A|15382|EAST MUSTANG CREEK AT FM 647|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.08|07/13/2004|09:09|0.321||||||LN|LN|RT|
LN25365|1604A|15382|EAST MUSTANG CREEK AT FM 647|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.08|01/10/2005|10:43|0.358||||||LN|LN|RT|
LN26475|1604A|15382|EAST MUSTANG CREEK AT FM 647|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.04|10/03/2006|10:40|0.3||||||LN|LN|RT|
LN27272|1604A|15382|EAST MUSTANG CREEK AT FM 647|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.54|01/22/2008|10:51|0.3||||||LN|LN|RT|
LN28763|1604A|15382|EAST MUSTANG CREEK AT FM 647|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|04/14/2010|10:24|0.3||||||LN|LN|RT|
LN35581|1604A|15382|EAST MUSTANG CREEK AT FM 647|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|07/07/2020|10:32|0.3||||||LN|LN|RT|
LN31475|1604A|15382|EAST MUSTANG CREEK AT FM 647|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.12|10/14/2014|10:21|0.3||||||LN|LN|RT|
LN29916|1604A|15382|EAST MUSTANG CREEK AT FM 647|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.32|04/24/2012|10:55|0.318||||||LN|LN|RT|
LN29371|1604A|15382|EAST MUSTANG CREEK AT FM 647|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.42|04/19/2011|10:41|0.3||||||LN|LN|RT|
LN30564|1604A|15382|EAST MUSTANG CREEK AT FM 647|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|04/09/2013|09:38|0.3||||||LN|LN|RT|
