RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN26477|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.02|10/03/2006|14:41|0.346||||||LN|LN|RT|
LN26797|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.46|04/17/2007|13:58|0.3||||||LN|LN|RT|
LN31180|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.7|04/08/2014|14:44|0.298||||||LN|LN|RT|
LN31478|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.5|10/14/2014|14:56|0.3||||||LN|LN|RT|Diluted 1:10 due to high conductivity of sample
LN29919|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.5|04/24/2012|15:01|0.302||||||LN|LN|RT|1:25 dilution for TOC and 1:10 dilution for IC-Nitrate due to high Conductivity
LN27448|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.44|04/15/2008|15:03|0.362||||||LN|LN|RT|
LN35334|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.5|01/20/2020|14:25|0.335||||||LN|LN|RT|
LN35467|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.5|04/28/2020|14:19|0.299||||||LN|LN|RT|
LN35770|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.05|10/05/2020|14:30|0.301||||||LN|LN|RT|
LN31784|1603|15374|NAVIDAD RIVER TIDAL NR LAVACA|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.61|04/28/2015|14:50|0.298||||||LN|LN|RT|
