RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN31442|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.85|10/14/2014|10:35|0.3||||||LN|LN|RT|
LN31890|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.57|07/13/2015|10:49|0.3||||||LN|LN|RT|
LN33079|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.58|07/18/2016|10:55|0.099||||||LN|LN|RT|
LN32580|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||1.63|04/13/2016|09:49|0.008||||||LN|LN|RT|
LN34224|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||1.2|04/16/2018|11:25|0.299||||||LN|LN|RT|
LN34074|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.71|01/22/2018|12:11|0.3||||||LN|LN|RT|
LN33909|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||1.29|10/17/2017|11:36|0.3||||||LN|LN|RT|
LN31749|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||1.9|04/28/2015|11:29|0.3||||||LN|LN|RT|
LN29778|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||1.47|01/11/2012|11:20|0.3||||||LN|LN|RT|
LN31145|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||1.11|04/08/2014|10:26|0.3||||||LN|LN|RT|
LN32050|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||1.54|10/19/2015|10:49|0.15||||||LN|LN|RT|
LN33633|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.42|04/25/2017|10:39|0.3||||||LN|LN|RT|
LN35095|1604B|13655|WEST MUSTANG CREEK NEAR GANADO|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||1.53|10/02/2019|11:01|0.3||||||LN|LN|RT|
