RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN31443|1604C|13654|SANDY CREEK NEAR LOUISE|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.15|10/14/2014|09:58|0.3||||||LN|LN|RT|
LN21079|1604C|13654|SANDY CREEK NEAR LOUISE|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.04|01/24/2001|16:26|0.3||||||LN|LN|RT|
LN24538|1604C|13654|SANDY CREEK NEAR LOUISE|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.05|01/13/2004|14:42|0.3||||||LN|LN|RT|
LN23722|1604C|13654|SANDY CREEK NEAR LOUISE|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.02|04/14/2003|09:01|0.3||||||LN|LN|RT|
LN28420|1604C|13654|SANDY CREEK NEAR LOUISE|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|10/20/2009|10:05|0.312||||||LN|LN|RT|
LN32581|1604C|13654|SANDY CREEK NEAR LOUISE|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.32|04/13/2016|09:08|0.035||||||LN|LN|RT|
LN34376|1604C|13654|SANDY CREEK NEAR LOUISE|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.19|07/09/2018|10:27|0.3||||||LN|LN|RT|
LN35462|1604C|13654|SANDY CREEK NEAR LOUISE|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|04/28/2020|08:51|0.3||||||LN|LN|RT|
LN31750|1604C|13654|SANDY CREEK NEAR LOUISE|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.21|04/28/2015|10:53|0.3||||||LN|LN|RT|
LN30379|1604C|13654|SANDY CREEK NEAR LOUISE|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|<|0.1|01/21/2013|10:34|0.3||||||LN|LN|RT|
LN30535|1604C|13654|SANDY CREEK NEAR LOUISE|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.11|04/09/2013|09:13|0.3||||||LN|LN|RT|
LN25798|1604C|13654|SANDY CREEK NEAR LOUISE|00610|NITROGEN, AMMONIA, TOTAL (MG/L AS N)||0.02|10/17/2005|10:30|0.326||||||LN|LN|RT|
