RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN30851|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.8|10/15/2013|09:26|0.3||||||LN|LN|RT|
LN35580|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.95|07/07/2020|09:04|0.3||||||LN|LN|RT|
LN35740|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.77|10/05/2020|08:48|0.3||||||LN|LN|RT|
LN33295|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.32|10/18/2016|13:36|0.3||||||LN|LN|RT|
LN33635|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.8|04/24/2017|08:52|0.3||||||LN|LN|RT|
LN34534|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||1.66|10/16/2018|08:08|0.3||||||LN|LN|RT|
LN31751|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.98|04/28/2015|09:07|0.3||||||LN|LN|RT|
LN30054|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.66|07/10/2012|08:47|0.3||||||LN|LN|RT|
LN34075|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.46|01/22/2018|10:27|0.3||||||LN|LN|RT|
LN35097|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.43|10/02/2019|09:10|0.3||||||LN|LN|RT|
LN33081|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.26|07/18/2016|09:11|0.068||||||LN|LN|RT|
LN34377|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.54|07/09/2018|09:27|0.3||||||LN|LN|RT|
LN35308|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.32|01/20/2020|09:18|0.3||||||LN|LN|RT|
LN31892|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.44|07/13/2015|09:03|0.3||||||LN|LN|RT|
LN29780|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||1.77|01/11/2012|09:26|0.3||||||LN|LN|RT|
LN33760|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||1.2|07/18/2017|10:05|0.3||||||LN|LN|RT|
LN33911|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.64|10/17/2017|09:57|0.3||||||LN|LN|RT|
LN31597|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.54|01/20/2015|09:23|0.3||||||LN|LN|RT|
LN30536|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.99|04/09/2013|08:11|0.3||||||LN|LN|RT|
LN32052|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.81|10/19/2015|09:10|0.131||||||LN|LN|RT|
LN33448|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.39|01/10/2017|09:51|0.3||||||LN|LN|RT|
LN34986|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.44|07/16/2019|08:04|0.3||||||LN|LN|RT|
LN29887|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.67|04/24/2012|09:10|0.3||||||LN|LN|RT|
LN30994|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||1.2|01/14/2014|10:06|0.3||||||LN|LN|RT|
LN31147|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.784|04/08/2014|08:52|0.3||||||LN|LN|RT|
LN32406|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.59|01/19/2016|09:45|0.076||||||LN|LN|RT|
LN34226|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.39|04/16/2018|09:35|0.3||||||LN|LN|RT|
LN34833|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.63|04/09/2019|08:44|0.3||||||LN|LN|RT|
LN35463|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.52|04/28/2020|07:51|0.3||||||LN|LN|RT|
LN31303|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.92|07/08/2014|08:56|0.3||||||LN|LN|RT|
LN30380|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.73|01/21/2013|09:32|0.3||||||LN|LN|RT|
LN30215|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)|<|0.2|10/15/2012|09:08|0.3||||||LN|LN|RT|
LN32582|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.51|04/13/2016|08:12|0.008||||||LN|LN|RT|
LN34699|1605|15380|NAVIDAD RIVER 5 MI N OF EDNA|00625|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)||0.76|01/09/2019|09:36|0.3||||||LN|LN|RT|DILUTION 1:4
