RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
LN30053|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.06|07/10/2012|09:50|0.3||||||LN|LN|RT|
LN25950|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.02|01/10/2006|11:17|0.359||||||LN|LN|RT|
LN28560|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.08|01/25/2010|10:38|0.3||||||LN|LN|RT|
LN33294|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.15|10/18/2016|14:39|0.3||||||LN|LN|RT|
LN26103|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)|<|0.02|04/10/2006|09:29|0.298||||||LN|LN|RT|
LN27581|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.15|07/15/2008|09:32|0.3||||||LN|LN|RT|
LN28730|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.27|04/14/2010|09:55|0.3||||||LN|LN|RT|
LN33080|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.14|07/18/2016|10:12|0.089||||||LN|LN|RT|
LN34376|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.3|07/09/2018|10:27|0.3||||||LN|LN|RT|
LN35739|1604C|13654|SANDY CREEK NEAR LOUISE|00620|NITRATE NITROGEN, TOTAL (MG/L AS N)||0.149|10/05/2020|10:05|0.3||||||LN|LN|RT|
