"month","site_no","TP_Estimate","TP_Upper","TP_Lower"
"2000-01","usgs08164000",581.3707413633111,693.5810149952695,488.3738082910917
"2000-02","usgs08164000",743.6605585092947,890.6750433491977,622.1685288157847
"2000-03","usgs08164000",2068.0740687312914,2524.3747601552673,1708.9731196139485
"2000-04","usgs08164000",3793.0688129969976,4676.064152589707,3112.2492694806097
"2000-05","usgs08164000",10160.7807002199,12641.436526496891,8257.708894178117
"2000-06","usgs08164000",7118.515779338941,8827.36727628684,5828.865716352658
"2000-07","usgs08164000",252.47727978945835,304.679255734923,209.18182453207007
"2000-08","usgs08164000",117.98900816419541,139.30226041872842,100.73837604994456
"2000-09","usgs08164000",48.052768049959546,56.58049668648294,40.915329310715926
"2000-10","usgs08164000",376.90252889237763,459.32612939959483,311.5494129250887
"2000-11","usgs08164000",20984.74146809638,26654.473504714228,16737.628627262322
"2000-12","usgs08164000",3441.362059564989,4242.094912990493,2812.5624817291678
"2001-01","usgs08164000",7910.744877111026,9728.995494444143,6494.070857048093
"2001-02","usgs08164000",1300.6840888455781,1535.790337488908,1099.336558577192
"2001-03","usgs08164000",13896.484520035687,17135.878086936293,11407.024321180776
"2001-04","usgs08164000",1050.2980616981513,1237.9919587970544,887.6297576861523
"2001-05","usgs08164000",26706.505774454687,34430.17208271029,20915.36120846099
"2001-06","usgs08164000",936.8004494718922,1101.3174353139825,799.7149447550102
"2001-07","usgs08164000",417.94084859734824,489.7552285435178,356.77302941925285
"2001-08","usgs08164000",8475.225130690229,10318.078126157525,6992.388084126868
"2001-09","usgs08164000",89682.09877376862,119638.36994694201,68254.50051245386
"2001-10","usgs08164000",8749.304414547023,10588.245590200118,7287.126913926251
"2001-11","usgs08164000",2856.7050643972716,3396.608826865275,2405.656832865529
"2001-12","usgs08164000",23960.79101750323,29389.518310729807,19626.888857818652
"2002-01","usgs08164000",1895.0049392739304,2230.8122414423055,1600.6071565736756
"2002-02","usgs08164000",1004.6289691387897,1165.4146363984985,859.726503090772
"2002-03","usgs08164000",933.4749421548959,1079.6713607302024,801.8479560712287
"2002-04","usgs08164000",9692.396172825369,12005.386564877756,7935.106103787768
"2002-05","usgs08164000",671.8178960653399,781.0689126421778,574.1488127748812
"2002-06","usgs08164000",650.1759651527287,753.8326540671567,559.7900147492276
"2002-07","usgs08164000",33566.38480482828,41930.36076148433,27146.071139356813
"2002-08","usgs08164000",2838.5481386088168,3367.275742001376,2397.672012824427
"2002-09","usgs08164000",807.6435462644024,942.994783894011,690.9663682797984
"2002-10","usgs08164000",21854.183016510135,27485.969405713404,17596.786211859824
"2002-11","usgs08164000",50132.228359106746,61976.633295286054,40786.00675421542
"2002-12","usgs08164000",36152.1844418647,44364.63957444292,29673.78678026249
"2003-01","usgs08164000",15016.477030816544,17932.651433066272,12582.703665819883
"2003-02","usgs08164000",9420.048333318708,11261.024625392409,7898.680793978332
"2003-03","usgs08164000",3264.9072152607323,3769.9016974395995,2810.957168350269
"2003-04","usgs08164000",1388.147329434092,1605.2239688855414,1201.1402022383882
"2003-05","usgs08164000",739.4240046928568,855.9795456884298,640.7064941156424
"2003-06","usgs08164000",511.8081504166766,592.0009098775184,444.81593651715133
"2003-07","usgs08164000",10169.253337110631,12323.520368227648,8490.46762091903
"2003-08","usgs08164000",560.8571321596327,660.7757553951263,474.5174324527433
"2003-09","usgs08164000",19011.163490712664,23269.09782248522,15710.801602213933
"2003-10","usgs08164000",6752.31703389874,8089.06843413719,5651.619932444621
"2003-11","usgs08164000",19469.676595899746,24435.723989712653,15699.633369033123
"2003-12","usgs08164000",1180.1137402854406,1353.3875761164402,1020.5979614042254
"2004-01","usgs08164000",9715.72783581785,11719.006100561593,8070.966999401493
"2004-02","usgs08164000",9917.118651394198,11710.56570861688,8387.636201215279
"2004-03","usgs08164000",12417.1421900529,14988.576700887694,10289.867773069263
"2004-04","usgs08164000",19286.410745645117,23339.66245598769,16039.602948766933
"2004-05","usgs08164000",47836.048198220735,58003.196279447744,39676.918744207534
"2004-06","usgs08164000",70315.20736941007,85734.41148405784,58143.274668168924
"2004-07","usgs08164000",15480.625928100435,18342.015019757102,13100.531012131474
"2004-08","usgs08164000",1361.1749027350177,1555.4090365804852,1189.8146799409753
"2004-09","usgs08164000",757.7381386174022,868.2325781216455,660.0799245441457
"2004-10","usgs08164000",4245.196255702563,5014.958664044448,3592.215627705276
"2004-11","usgs08164000",82832.01129179292,101680.06702233841,67980.30327290858
"2004-12","usgs08164000",3084.0767565153983,3610.2323157290225,2623.3762586521902
