"Date","Flow","log1p_Flow","site_no","TP_Estimate","TP_Upper","TP_Lower"
2000-01-01,22.001,3.1354942159291497,"usgs08164000",,,
2000-01-02,22.001,3.1354942159291497,"usgs08164000",9.913590563874138,12.25012518403252,7.9231365289653075
2000-01-03,23.001,3.1780538303479458,"usgs08164000",10.373269405142606,12.815013866946416,8.291000297364906
2000-01-04,21.001,3.091042453358316,"usgs08164000",9.544538112560284,11.813661294778022,7.6089922871560844
2000-01-05,21.001,3.091042453358316,"usgs08164000",9.31045256616042,11.500252583249015,7.4195411824285005
2000-01-06,22.001,3.1354942159291497,"usgs08164000",9.79297929550974,12.095782714319679,7.817503880922721
2000-01-07,25.001,3.258096538021482,"usgs08164000",11.326146505890568,13.993485050423324,9.060772020327777
2000-01-08,34.001,3.5553480614894135,"usgs08164000",16.108751452862144,20.187412784512976,12.941707952870786
2000-01-09,38.001,3.6635616461296463,"usgs08164000",19.646820700160614,25.13353306327629,15.557615426983485
2000-01-10,127.001,4.852030263919617,"usgs08164000",71.28144846057174,91.45189562991236,56.805259871576226
2000-01-11,72.001,4.290459441148391,"usgs08164000",47.24296236741741,61.637439033743846,36.52014009919204
2000-01-12,51.001,3.9512437185814275,"usgs08164000",29.66133752912228,38.47167314912564,23.262952345936647
2000-01-13,41.001,3.7376696182833684,"usgs08164000",21.70769467795813,27.99252740204944,17.1436091959862
2000-01-14,36.001,3.6109179126442243,"usgs08164000",17.595463619178844,22.192680466035092,14.071452235503124
2000-01-15,33.001,3.5263605246161616,"usgs08164000",15.369270995026229,19.184715473888588,12.347039593411678
2000-01-16,31.001,3.4657359027997265,"usgs08164000",14.010164617247952,17.357205113549554,11.224890450560906
2000-01-17,30.001,3.4339872044851463,"usgs08164000",13.299800693142997,16.433859572835328,10.67418622047048
2000-01-18,30.001,3.4339872044851463,"usgs08164000",13.201408834556716,16.270733385727137,10.598844467431515
2000-01-19,29.000999999999998,3.4011973816621555,"usgs08164000",12.775289339881303,15.772326815559751,10.247218415142266
2000-01-20,29.000999999999998,3.4011973816621555,"usgs08164000",12.680889079207276,15.650847806588958,10.173744949843314
